Suburb,No_of_Crimes,Crime_Type_1,Crime_Type_2,Crime_Type_3
ST GEORGES,194,THEFT AND RELATED OFFENCES,SERIOUS CRIMINAL TRESPASS,PROPERTY DAMAGE AND ENVIRONMENTAL
EVANSTON SOUTH,191,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
WOODFORDE,188,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
BELLEVUE HEIGHTS,186,PROPERTY DAMAGE AND ENVIRONMENTAL,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY
WATTLE PARK,184,THEFT AND RELATED OFFENCES,SERIOUS CRIMINAL TRESPASS,PROPERTY DAMAGE AND ENVIRONMENTAL
JOSLIN,180,THEFT AND RELATED OFFENCES,SERIOUS CRIMINAL TRESPASS,PROPERTY DAMAGE AND ENVIRONMENTAL
MASLIN BEACH,178,ACTS INTENDED TO CAUSE INJURY,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL
BIRDWOOD,178,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
KINGSTON PARK,172,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
ERINDALE,166,THEFT AND RELATED OFFENCES,SERIOUS CRIMINAL TRESPASS,PROPERTY DAMAGE AND ENVIRONMENTAL
HILLIER,164,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
ONE TREE HILL,158,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
KINGS PARK,149,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
MARRYATVILLE,144,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
MUNNO PARA DOWNS,138,THEFT AND RELATED OFFENCES,SERIOUS CRIMINAL TRESPASS,PROPERTY DAMAGE AND ENVIRONMENTAL
GLENALTA,134,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,SERIOUS CRIMINAL TRESPASS
