Suburb,G01_Population_Total,Current_Price_2025,Indian_Population,Indian_Percent,Chinese_Population,Chinese_Percent,Vietnamese_Population,Vietnamese_Percent,Italian_Population,Italian_Percent,Greek_Population,Greek_Percent,Cultural_Diversity_Index
CLEARVIEW,4261.0,942500.0,524.0,12.297582727059375,100.0,2.346866932644919,79.0,1.854024876789486,92.0,2.1591175780333254,41.0,0.9622154423844167,0.9834236619154499
CLOVELLY PARK,3126.0,978000.0,210.0,6.71785028790787,228.0,7.293666026871401,31.0,0.9916826615483045,45.0,1.4395393474088292,62.0,1.983365323096609,0.9894683477358902
COLLEGE PARK,755.0,3300000.0,15.0,1.9867549668874174,42.0,5.562913907284768,0.0,0.0,20.0,2.6490066225165565,30.0,3.9735099337748347,0.9942300776281742
COLLINSWOOD,1496.0,,110.0,7.352941176470589,67.0,4.478609625668449,25.0,1.6711229946524064,54.0,3.6096256684491976,24.0,1.6042780748663104,0.9907480554205154
COLONEL LIGHT GARDENS,3311.0,1662000.0,29.0,0.8758683177287828,48.0,1.4497130776200544,5.0,0.15101177891875567,74.0,2.234974327997584,79.0,2.3859861069163393,0.9986420342175998
COROMANDEL VALLEY,4380.0,1150000.0,15.0,0.3424657534246575,28.0,0.6392694063926941,0.0,0.0,40.0,0.91324200913242,18.0,0.410958904109589,0.999847115364567
COWANDILLA,1455.0,1000000.0,61.0,4.192439862542955,52.0,3.5738831615120272,23.0,1.5807560137457044,52.0,3.5738831615120272,126.0,8.65979381443299,0.9879387347811197
CRAFERS,2006.0,1362000.0,6.0,0.29910269192422734,21.0,1.0468594217347957,3.0,0.14955134596211367,30.0,1.4955134596211366,8.0,0.3988035892323031,0.9996396652515037
CRAFERS WEST,1307.0,1276000.0,0.0,0.0,18.0,1.3771996939556235,0.0,0.0,20.0,1.5302218821729152,6.0,0.45906656465187456,0.9995550999883507
CRAIGBURN FARM,3099.0,1526000.0,83.0,2.6782833171990967,112.0,3.6140690545337204,6.0,0.1936108422071636,42.0,1.3552758954501452,22.0,0.7099064214262665,0.9977387078303684
CRAIGMORE,10943.0,727000.0,59.0,0.5391574522525816,50.0,0.4569130951293064,16.0,0.14621219044137804,84.0,0.7676139998172348,18.0,0.1644887142465503,0.9998862873870716
CROYDON,1220.0,1545500.0,4.0,0.32786885245901637,25.0,2.0491803278688523,34.0,2.7868852459016393,120.0,9.836065573770492,82.0,6.721311475409836,0.9846002418704649
CROYDON PARK,4230.0,1050000.0,247.0,5.839243498817967,281.0,6.643026004728132,618.0,14.609929078014183,143.0,3.380614657210402,252.0,5.957446808510639,0.9661403685260634
CUMBERLAND PARK,2571.0,1601000.0,38.0,1.4780241151302995,131.0,5.095293660054454,0.0,0.0,50.0,1.9447685725398678,85.0,3.3061065733177757,0.9957140961758029
DARLINGTON,1275.0,980000.0,61.0,4.784313725490196,62.0,4.862745098039216,24.0,1.8823529411764703,27.0,2.1176470588235294,22.0,1.7254901960784312,0.9942459054209919
DAVOREN PARK,6392.0,638750.0,13.0,0.20337922403003755,34.0,0.5319148936170213,54.0,0.8448060075093867,43.0,0.6727158948685857,7.0,0.1095118898623279,0.9998497466717627
DAW PARK,2705.0,1870000.0,63.0,2.32902033271719,89.0,3.2902033271719042,8.0,0.29574861367837335,44.0,1.6266173752310535,85.0,3.1423290203327174,0.9971142643355736
DERNANCOURT,4063.0,990000.0,143.0,3.5195668225449173,200.0,4.922471080482403,6.0,0.14767413241447205,360.0,8.860447944868325,69.0,1.698252522766429,0.9881968520779267
DEVON PARK,1185.0,1073500.0,31.0,2.6160337552742616,52.0,4.388185654008439,46.0,3.8818565400843887,29.0,2.447257383966245,31.0,2.6160337552742616,0.9945998682547312
DIREK,913.0,775000.0,16.0,1.7524644030668126,23.0,2.5191675794085433,27.0,2.9572836801752467,7.0,0.7667031763417306,3.0,0.32858707557502737,0.9981141333230962
DOVER GARDENS,3062.0,1040000.0,90.0,2.939255388634879,156.0,5.094709340300457,10.0,0.32658393207054215,41.0,1.3389941214892227,17.0,0.5551926845199217,0.9963196913259222
DRY CREEK,232.0,688000.0,4.0,1.7241379310344827,15.0,6.4655172413793105,15.0,6.4655172413793105,4.0,1.7241379310344827,0.0,0.0,0.991044887039239
DUDLEY PARK,670.0,820000.0,40.0,5.970149253731343,30.0,4.477611940298507,41.0,6.119402985074627,14.0,2.0895522388059704,11.0,1.6417910447761193,0.9899799509913121
DULWICH,1659.0,2150000.0,20.0,1.2055455093429777,61.0,3.676913803496082,3.0,0.18083182640144665,49.0,2.9535864978902953,24.0,1.4466546112115732,0.9974177781992464
EASTWOOD,712.0,1390000.0,5.0,0.7022471910112359,28.0,3.932584269662921,3.0,0.42134831460674155,22.0,3.089887640449438,11.0,1.544943820224719,0.9971929838404242
ECHUNGA,1219.0,,0.0,0.0,4.0,0.3281378178835111,0.0,0.0,9.0,0.7383100902378998,3.0,0.2461033634126333,0.9999286656917644
EDEN HILLS,3020.0,1177500.0,44.0,1.456953642384106,55.0,1.8211920529801324,19.0,0.6291390728476821,18.0,0.5960264900662252,27.0,0.8940397350993378,0.9993010174992325
EDWARDSTOWN,4514.0,1161250.0,168.0,3.721754541426672,294.0,6.513070447496677,37.0,0.819672131147541,66.0,1.4621178555604786,58.0,1.2848914488258751,0.9939267859417921
ELIZABETH,1033.0,667000.0,5.0,0.48402710551790895,9.0,0.8712487899322363,13.0,1.2584704743465636,8.0,0.7744433688286544,0.0,0.0,0.9996823132840841
ELIZABETH DOWNS,5160.0,635000.0,3.0,0.05813953488372093,11.0,0.2131782945736434,9.0,0.1744186046511628,13.0,0.25193798449612403,8.0,0.15503875968992248,0.9999833243194519
ELIZABETH EAST,4607.0,681000.0,27.0,0.5860646841762536,40.0,0.8682439765574127,43.0,0.9333622747992185,27.0,0.5860646841762536,3.0,0.06511829824180596,0.999768380324031
ELIZABETH GROVE,2531.0,615000.0,7.0,0.2765705254839984,10.0,0.39510075069142636,9.0,0.3555906756222837,27.0,1.066772026866851,0.0,0.0,0.9998502956855342
ELIZABETH NORTH,3588.0,625000.0,25.0,0.6967670011148273,19.0,0.5295429208472687,25.0,0.6967670011148273,29.0,0.8082497212931996,12.0,0.33444816053511706,0.999798349260324
ELIZABETH PARK,4428.0,637000.0,23.0,0.5194218608852755,37.0,0.8355916892502258,19.0,0.4290876242095754,24.0,0.5420054200542005,0.0,0.0,0.9998554101394672
ELIZABETH SOUTH,2933.0,620000.0,26.0,0.8864643709512444,19.0,0.647800886464371,19.0,0.647800886464371,28.0,0.9546539379474941,9.0,0.3068530514831231,0.9997369366005583
ELIZABETH VALE,4331.0,685000.0,34.0,0.7850380974370815,12.0,0.2770722696836758,14.0,0.32325098129762175,36.0,0.8312168090510275,10.0,0.23089355806972986,0.9998458221727228
ENFIELD,6204.0,993000.0,764.0,12.314635718891038,229.0,3.6911669890393295,210.0,3.3849129593810443,151.0,2.4339136041263703,68.0,1.096067053513862,0.9816142099209304
ERINDALE,1172.0,2000000.0,37.0,3.1569965870307164,120.0,10.238907849829351,8.0,0.6825938566552902,49.0,4.180887372013651,17.0,1.4505119453924915,0.9865148400097846
ETHELTON,1487.0,930000.0,11.0,0.7397444519166106,5.0,0.3362474781439139,5.0,0.3362474781439139,30.0,2.0174848688634834,26.0,1.7484868863483525,0.9992099201824917
EVANDALE,1378.0,1232500.0,42.0,3.0478955007256894,58.0,4.2089985486211905,3.0,0.21770682148040638,147.0,10.667634252539914,23.0,1.6690856313497822,0.98563630005835
EVANSTON,2580.0,700000.0,11.0,0.4263565891472868,6.0,0.23255813953488372,6.0,0.23255813953488372,23.0,0.8914728682170543,3.0,0.11627906976744186,0.999890180878553
EVANSTON GARDENS,2347.0,667500.0,6.0,0.2556455048998722,8.0,0.34086067319982954,0.0,0.0,34.0,1.4486578610992757,8.0,0.34086067319982954,0.9997603663780231
EVANSTON PARK,4228.0,767500.0,9.0,0.21286660359508044,28.0,0.6622516556291391,12.0,0.28382213812677387,57.0,1.348155156102176,8.0,0.1892147587511826,0.9997582230997746
EVANSTON SOUTH,765.0,751250.0,6.0,0.7843137254901961,9.0,1.1764705882352942,0.0,0.0,12.0,1.5686274509803921,3.0,0.39215686274509803,0.9995386389850057
EVERARD PARK,1071.0,,51.0,4.761904761904762,56.0,5.228758169934641,7.0,0.6535947712418301,28.0,2.6143790849673203,28.0,2.6143790849673203,0.9935887208914067
EXETER,1066.0,1200000.0,6.0,0.5628517823639775,6.0,0.5628517823639775,5.0,0.46904315196998125,18.0,1.6885553470919326,9.0,0.8442776735459663,0.9995582370313528
EYRE,1113.0,749000.0,24.0,2.15633423180593,14.0,1.257861635220126,7.0,0.628930817610063,6.0,0.5390835579514826,3.0,0.2695417789757413,0.9993009188960976
FAIRVIEW PARK,3792.0,890000.0,16.0,0.42194092827004215,14.0,0.3691983122362869,3.0,0.07911392405063292,61.0,1.608649789029536,8.0,0.21097046413502107,0.9997047136765832
FELIXSTOW,2477.0,1476250.0,93.0,3.754541784416633,343.0,13.847396043601131,31.0,1.2515139281388776,260.0,10.496568429551877,26.0,1.0496568429551878,0.9681307023404175
FERRYDEN PARK,4495.0,902500.0,297.0,6.607341490545051,398.0,8.85428253615128,902.0,20.06674082313682,116.0,2.5806451612903225,102.0,2.2691879866518354,0.9463461688367126
FINDON,6997.0,1085000.0,470.0,6.717164499071031,224.0,3.2013720165785338,95.0,1.3577247391739318,715.0,10.218665142203802,227.0,3.2442475346577107,0.98278412424819
FIRLE,1508.0,1184000.0,88.0,5.835543766578249,205.0,13.59416445623342,11.0,0.7294429708222812,183.0,12.13527851458886,48.0,3.183023872679045,0.9623216409036861
FITZROY,783.0,,16.0,2.0434227330779056,42.0,5.363984674329502,55.0,7.0242656449553005,60.0,7.662835249042145,41.0,5.236270753512133,0.983157420863855
FLAGSTAFF HILL,10184.0,1015500.0,203.0,1.993322859387274,289.0,2.837784760408484,12.0,0.1178318931657502,153.0,1.5023566378633149,70.0,0.6873527101335428,0.998523022806133
FLINDERS PARK,5489.0,1323000.0,201.0,3.661869192931317,153.0,2.7873929677536893,46.0,0.8380397157952268,483.0,8.799417015849881,262.0,4.773182729094553,0.9877905830707773
FOREST RANGE,290.0,,0.0,0.0,4.0,1.3793103448275863,0.0,0.0,0.0,0.0,0.0,0.0,0.9998097502972652
FORESTVILLE,1400.0,1503850.0,26.0,1.8571428571428572,56.0,4.0,11.0,0.7857142857142858,33.0,2.357142857142857,51.0,3.642857142857143,0.9961107142857143
FREWVILLE,896.0,2312500.0,48.0,5.357142857142857,130.0,14.508928571428573,16.0,1.7857142857142856,18.0,2.0089285714285716,13.0,1.4508928571428572,0.9751462352519132
FULHAM,2920.0,1581000.0,46.0,1.5753424657534247,66.0,2.26027397260274,25.0,0.8561643835616438,212.0,7.260273972602739,75.0,2.5684931506849313,0.9932367705010321
FULHAM GARDENS,6573.0,1330000.0,180.0,2.738475581926061,183.0,2.784116841624829,29.0,0.44119884375475427,800.0,12.17100258633805,448.0,6.815761448349308,0.9789966880402193
FULLARTON,4500.0,1756500.0,166.0,3.6888888888888887,318.0,7.066666666666667,19.0,0.42222222222222217,116.0,2.577777777777778,76.0,1.6888888888888887,0.9926778765432098
GAWLER,668.0,635000.0,0.0,0.0,0.0,0.0,4.0,0.5988023952095809,7.0,1.0479041916167664,0.0,0.0,0.9998543332496683
GAWLER EAST,5689.0,760000.0,21.0,0.3691334153629812,23.0,0.40428897873088415,5.0,0.08788890841975742,48.0,0.8437335208296712,17.0,0.29882228862717525,0.9998891385468764
GAWLER SOUTH,2618.0,707500.0,0.0,0.0,9.0,0.3437738731856379,8.0,0.30557677616501144,39.0,1.489686783804431,3.0,0.1145912910618793,0.9997556144480154
GAWLER WEST,975.0,648000.0,4.0,0.41025641025641024,0.0,0.0,0.0,0.0,7.0,0.717948717948718,0.0,0.0,0.9999316239316239
GEPPS CROSS,648.0,,76.0,11.728395061728394,37.0,5.709876543209877,71.0,10.95679012345679,10.0,1.5432098765432098,10.0,1.5432098765432098,0.9705027815881725
GILBERTON,1528.0,4037900.0,41.0,2.6832460732984296,87.0,5.693717277486911,35.0,2.2905759162303663,39.0,2.5523560209424083,11.0,0.7198952879581152,0.9948102265562896
GILLES PLAINS,4101.0,875000.0,369.0,8.997805413313825,222.0,5.4133138258961235,50.0,1.21921482565228,86.0,2.0970495001219214,26.0,0.6339917093391856,0.988344948428194
GILLMAN,76.0,1134000.0,0.0,0.0,0.0,0.0,9.0,11.842105263157894,0.0,0.0,0.0,0.0,0.9859764542936288
GLANDORE,3041.0,1386500.0,97.0,3.1897402170338705,185.0,6.083525156198618,22.0,0.7234462347911871,68.0,2.236106543900033,105.0,3.452811575139757,0.993537082431801
GLANVILLE,728.0,1035000.0,3.0,0.4120879120879121,5.0,0.6868131868131868,0.0,0.0,33.0,4.532967032967033,14.0,1.9230769230769231,0.9975112456225094
GLEN OSMOND,2154.0,1605500.0,118.0,5.478180129990715,257.0,11.931290622098421,15.0,0.6963788300835655,46.0,2.1355617455896008,23.0,1.0677808727948004,0.9821448123117881
GLENALTA,2039.0,1020000.0,7.0,0.34330554193231977,20.0,0.980872976949485,0.0,0.0,20.0,0.980872976949485,8.0,0.392349190779794,0.9997803979823553
GLENELG,3440.0,2475000.0,74.0,2.1511627906976747,60.0,1.744186046511628,0.0,0.0,107.0,3.11046511627907,62.0,1.802325581395349,0.9979406942942131
GLENELG EAST,3855.0,1665500.0,75.0,1.9455252918287937,47.0,1.2191958495460442,8.0,0.20752269779507135,61.0,1.5823605706874189,54.0,1.4007782101167316,0.99902193825796
GLENELG NORTH,6594.0,1422500.0,119.0,1.8046709129511678,132.0,2.001819836214741,19.0,0.28814073400060664,155.0,2.35062177737337,85.0,1.289050652107977,0.9985465780832733
GLENELG SOUTH,2184.0,2100000.0,22.0,1.0073260073260073,15.0,0.6868131868131868,0.0,0.0,51.0,2.3351648351648353,23.0,1.0531135531135531,0.9991951538998243
GLENGOWRIE,5767.0,1415000.0,72.0,1.2484827466620427,86.0,1.4912432807352176,10.0,0.17340038148083928,93.0,1.6126235477718052,43.0,0.7456216403676088,0.9993030910279239
GLENSIDE,2852.0,1855000.0,182.0,6.38148667601683,424.0,14.866760168302944,24.0,0.8415147265077139,57.0,1.9985974754558204,28.0,0.9817671809256662,0.973258966420061
GLENUNGA,2184.0,1739500.0,146.0,6.684981684981685,375.0,17.17032967032967,35.0,1.6025641025641024,47.0,2.152014652014652,26.0,1.1904761904761905,0.9651874186558252
GLYNDE,2102.0,1120000.0,53.0,2.521408182683159,167.0,7.944814462416747,19.0,0.9039010466222646,338.0,16.079923882017127,22.0,1.0466222645099905,0.9670046016615954
GOLDEN GROVE,10299.0,940000.0,137.0,1.3302262355568502,182.0,1.7671618603747936,34.0,0.3301291387513351,209.0,2.0293232352655597,36.0,0.34954849985435477,0.9990758314926281
GOODWOOD,2823.0,2220000.0,59.0,2.089975203684024,81.0,2.869287991498406,9.0,0.3188097768331562,83.0,2.9401346085724405,144.0,5.100956429330499,0.9952633402385571
GRANGE,6143.0,1505000.0,53.0,0.8627706332410874,36.0,0.5860328829562104,13.0,0.21162298551196485,306.0,4.981279505127787,150.0,2.4418036789842095,0.9968091857291607
GREEN FIELDS,170.0,853000.0,14.0,8.235294117647058,14.0,8.235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.9864359861591696
GREENACRES,3356.0,898500.0,723.0,21.543504171632897,227.0,6.764004767580453,56.0,1.66865315852205,65.0,1.936829558998808,22.0,0.6555423122765197,0.9483160219683743
GREENHILL,454.0,1350000.0,7.0,1.5418502202643172,4.0,0.881057268722467,0.0,0.0,4.0,0.881057268722467,0.0,0.0,0.9996070174076733
GREENWITH,10103.0,1100000.0,93.0,0.9205186578244086,62.0,0.6136791052162723,31.0,0.30683955260813617,220.0,2.177571018509354,54.0,0.5344947045432049,0.9993654392715536
GULFVIEW HEIGHTS,3674.0,991500.0,37.0,1.0070767555797495,88.0,2.3952095808383236,52.0,1.4153511159499184,189.0,5.1442569406641265,75.0,2.0413718018508438,0.9960614970385848
GUMERACHA,847.0,740000.0,3.0,0.3541912632821724,0.0,0.0,0.0,0.0,8.0,0.9445100354191263,0.0,0.0,0.9998982449342008
HACKHAM,4491.0,750000.0,12.0,0.26720106880427524,11.0,0.2449343130705856,4.0,0.0890670229347584,46.0,1.0242707637497217,13.0,0.2894678245379648,0.9998727755617621
HACKHAM WEST,3620.0,755000.0,8.0,0.22099447513812157,17.0,0.4696132596685083,10.0,0.2762430939226519,16.0,0.44198895027624313,10.0,0.2762430939226519,0.9999382650102255
HACKNEY,575.0,3900000.0,0.0,0.0,33.0,5.739130434782608,0.0,0.0,11.0,1.9130434782608694,4.0,0.6956521739130435,0.9962918714555765
HAHNDORF,2814.0,,17.0,0.6041222459132907,28.0,0.9950248756218906,8.0,0.28429282160625446,40.0,1.4214641080312722,9.0,0.31982942430703626,0.9996441288329396
HALLETT COVE,12512.0,1020000.0,186.0,1.4865728900255755,353.0,2.821291560102302,19.0,0.1518542199488491,148.0,1.1828644501278773,87.0,0.6953324808184144,0.9987924699705163
HAMPSTEAD GARDENS,1535.0,1255000.0,180.0,11.726384364820847,112.0,7.296416938110749,33.0,2.1498371335504887,44.0,2.8664495114006514,30.0,1.9543973941368076,0.9792596207917326
HAPPY VALLEY,11420.0,863000.0,71.0,0.6217162872154115,100.0,0.8756567425569177,8.0,0.07005253940455342,95.0,0.8318739054290718,47.0,0.4115586690017513,0.9997980392036584
HAWTHORN,2221.0,1672500.0,40.0,1.8009905447996397,71.0,3.1967582170193602,20.0,0.9004952723998199,26.0,1.170643854119766,45.0,2.0261143628995946,0.9980250731779111
